sID,PosX,PosY,PosZ,Area,Intensity_Center_Ch_01,Intensity_Center_Ch_02,Intensity_Max_Ch_01,Intensity_Max_Ch_02,Intensity_Mean_Ch_01,Intensity_Mean_Ch_02,Intensity_Median_Ch_01,Intensity_Median_Ch_02,Intensity_Min_Ch_01,Intensity_Min_Ch_02,Intensity_StdDev_Ch_01,Intensity_StdDev_Ch_02,Intensity_Sum_Ch_01,Intensity_Sum_Ch_02,Sphericity,Volume
628,175.154,222.09,11.0391,1258.52,357.283,785.141,466,1273,301.612,510.183,289.656,454.563,250,303,36.0284,158.512,601113,1016800,7875.88,2934.37
629,134.331,237.233,6.38992,207.238,314.264,414.773,411,647,323.694,398.515,314.922,371.41,268,296,34.1279,77.3481,43375,53401,7767.3,192.035
630,105.821,251.477,6.90518,371.091,305.262,504.086,347,736,283.617,438.118,277.969,411.676,253,327,19.7059,88.1066,96146,148522,8150.48,494.617
631,23.2783,261.934,6.37186,620.859,917.072,530.045,2596,1172,556.074,375.814,399.094,320.188,272,248,387.164,153.464,419280,283364,8337.89,1107.51
632,198.532,297.269,6.16013,390.885,350.352,367.278,426,461,342.447,357.336,340.828,353.773,288,278,29.9133,36.1232,108898,113633,7660.99,487.276
633,280.417,280.645,3.37659,1080.52,1369.22,604.615,2520,1094,652.428,414.539,452.391,358.297,258,234,449.97,168.727,809663,514443,6790.51,1868.86
634,315.137,290.243,3.18992,367.47,1177.24,596.191,1627,725,604.251,361.325,503.289,322.531,289,239,301.795,109.995,213905,127909,8480.54,517.299
635,301.314,309.176,2.33888,169.52,287.553,450.675,308,536,282.822,406.729,281,404.836,260,330,10.8756,42.3812,36484,52468,7565.9,136.583
636,304.267,290.028,5.20767,702.083,1780.57,796.212,2184,1021,618.954,390.509,447.891,338.063,260,237,414.986,154.616,525492,331542,7734.17,1189.81
637,281.707,388.495,7.28228,527.25,342.979,555.734,379,659,299.933,431.734,292.75,409.461,259,308,25.9083,76.2723,151166,217594,7590.83,752.892
638,261.17,393.387,7.17233,98.2799,269.858,318.433,309,429,292.914,353.914,292.867,352.605,274,306,7.86405,25.5244,16989,20527,5935.49,41.8944
639,65.972,3.29276,7.26108,380.616,446.955,415.989,911,786,407.204,392.988,351.664,352.063,266,262,118.504,108.661,138042,133223,7890.08,489.358
640,76.175,39.2467,8.11455,494.808,412.455,488.345,601,630,331.563,374.829,319.984,361.609,271,274,46.2572,60.6283,135941,153680,6967.66,601.949
641,2.62858,119.609,10.1393,379.333,328.778,430.745,370,515,306.702,374.816,302.711,369.875,271,299,19.9898,40.1281,91704,112070,7009.06,407.656
642,36.2885,155.101,8.11392,437.757,377.402,327.689,618,512,370.223,329.169,359.105,322.531,271,254,63.5354,42.8394,131429,116855,7408.32,549.165
643,214.507,177.184,8.3457,661.461,396.939,906.867,434,1159,301.557,524.805,287.547,453.531,252,299,39.3237,183.302,261450,455006,8855.48,1333.06
644,4.16573,6.43258,10.2506,188.457,279.014,444.661,285,484,270.712,395.312,270.953,385.719,254,336,6.43303,33.5033,33839,49414,7775.88,166.807
645,78.5153,21.7475,11.0696,484.341,381.186,360.639,511,549,336.592,353.169,322.703,341.93,277,264,42.2431,50.747,131271,137736,6776.94,559.18
646,2.20382,32.225,10.6914,121.291,277.335,398.004,297,505,273.785,402.569,270.984,396.789,261,343,9.17647,33.7491,17796,26167,6878.71,71.6597
647,84.1575,36.1111,9.82456,469.494,339.882,436.434,503,660,333.156,389.876,319.406,366.039,268,278,47.7603,79.6113,125933,147373,7025.5,563.294
648,98.1384,53.1788,12.1527,968.186,613.398,801.995,685,898,366.299,417.998,338.008,377.297,262,278,82.1946,116.823,372526,425104,6739.14,1567.18
649,2.80857,62.4142,11.7502,370.697,839.031,592.678,942,771,450.976,383.857,389.531,339.176,278,252,155.388,111.362,151077,128592,8060.77,485.7
650,201.232,123.189,10.7711,281.375,917.546,535.843,2094,956,482.872,372.16,358.359,335.781,273,244,303.705,113.435,120718,93040,9033.72,381.067
651,154.522,127.169,12.0914,607.575,587.18,1937.64,743,2609,328.555,665.48,287.516,470.445,251,299,90.8961,438.7,253316,513085,8752.76,1153.16
652,214.394,128.068,10.6867,452.966,394.578,411.044,579,707,351.242,400.783,337.828,380.559,264,274,62.4379,82.2263,155249,177146,8337.16,690.08
653,206.643,128.801,15.5718,77.5206,284.236,402.714,293,486,279.244,388.556,276.953,378.832,267,331,6.47432,33.4643,12566,17485,8575.83,50.9699
654,198.704,137.489,11.1501,479.332,303.489,341.125,502,469,315.18,349.503,301.68,346.883,271,266,39.1184,32.876,124181,137704,6523.12,519.89
655,2.76779,147.104,11.0395,79.8789,262.95,380.151,278,463,267.675,408.9,268.977,408.625,256,343,5.07214,29.0267,10707,16356,8243.19,50.2418
656,119.329,158.983,11.5045,352.948,290.543,450.616,315,615,280.092,429.332,277.895,414.938,256,324,13.1325,58.8871,66662,102181,6828.62,351.835
657,6.66093,173.774,10.2136,345.667,306.821,531.743,319,594,285.097,432.057,283,419.215,255,309,14.0503,66.1017,84959,128753,8351.62,461.229
658,123.459,217.841,9.90925,398.685,267.659,295.527,352,461,295.386,367.745,292.867,362.875,265,304,14.2722,33.1235,74142,92304,5500.1,305.333
659,206.134,68.8612,13.1963,203.379,288.287,443.567,305,577,277.884,412.92,275.914,403.781,254,336,11.0727,46.7169,38348,56983,7484.93,176.609
660,22.289,97.252,12.9052,373.951,358.785,376.964,458,471,349.556,349.715,342.473,343.656,283,271,40.1263,42.6099,105566,105614,7785.08,467.08
661,11.9391,109.515,11.8331,599.795,435.727,380.766,601,572,371.338,353.532,349.438,335.105,279,261,72.2044,59.1576,199780,190200,7004.17,809.679
662,211.171,143.907,12.2382,596.776,488.864,1245.19,569,1777,332.098,631.351,299.527,499.582,254,270,73.498,328.62,247745,470988,8851.8,1141.66
663,170.679,153.475,14.3978,1280.08,711.056,603.553,954,823,413.163,375.387,365.242,340.684,272,254,130.755,99.1232,689983,626897,7045.38,2546.76
664,43.1692,172.129,13.1463,295.117,341.103,489.827,464,623,316.394,407.635,307.75,389.938,264,284,36.4912,72.6363,65810,84788,7756.23,325.643
665,15.7968,176.163,12.759,385.1,542.838,460.251,703,505,417.565,337.106,388.313,321.906,279,257,104.935,56.6516,172872,139562,9240.32,631.197
666,154.216,206.484,14.0567,530.399,547.066,1761.24,591,1913,323.881,625.104,297.891,478.43,253,288,70.983,338.826,214409,413819,9191.11,1012.12
667,91.3737,71.5262,14.6118,177.086,307.952,411.726,330,431,296.039,364.682,293.93,360.688,273,306,12.9857,27.1506,38189,47044,8783.2,182.402
668,184.269,202.93,17.5921,635.992,295.202,556.045,347,796,282.192,438.301,277.684,414.938,256,327,17.2119,80.2218,193019,299798,7541.29,987.688
669,111.346,204.485,15.6564,526.158,504.388,351.814,636,498,393.691,318.557,371.781,313,280,242,75.3283,41.7481,192121,155456,7609.52,753.327
670,241.34,140.064,8.76652,615.42,289.848,464.436,379,859,286.708,456.124,279.703,423.375,255,315,21.9952,103.541,198402,315638,7918.76,1011.62
671,246.424,160.435,9.19136,401.475,369.508,767.176,386,860,297.122,505.101,286.977,456.66,256,325,30.8844,141.837,123900,210627,8885.6,633.567
672,277.608,52.2199,11.4612,1287.97,843.55,561.798,1188,699,460.113,355.249,398.789,322.477,282,240,163.236,91.834,894459,690604,7779.8,2982.53
673,354.284,182.902,7.8665,1347.25,340.178,513.361,785,2346,387.111,470.731,358.984,362.734,253,248,98.94,302.817,772674,939580,7428.35,2977.04
674,380.798,38.8688,11.9711,780.515,809.544,561.529,961,583,450.445,343.539,399.063,320.5,295,247,136.791,73.2943,503597,384077,8873,1713.77
